episode,reward
1,1.0
2,0.0
3,2.0
4,1.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,5.0
11,0.0
12,0.0
13,1.0
14,3.0
15,1.0
16,2.0
17,1.0
18,1.0
19,2.0
20,2.0
21,3.0
22,1.0
23,1.0
24,0.0
25,1.0
26,1.0
27,2.0
28,3.0
29,1.0
30,1.0
31,1.0
32,1.0
33,0.0
34,1.0
35,2.0
36,1.0
37,0.0
38,3.0
39,1.0
40,2.0
41,2.0
42,0.0
43,2.0
44,2.0
45,2.0
46,0.0
47,1.0
48,0.0
49,3.0
50,2.0
51,0.0
52,2.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,0.0
60,0.0
61,1.0
62,0.0
63,3.0
64,1.0
65,1.0
66,6.0
67,1.0
68,2.0
69,0.0
70,5.0
71,1.0
72,1.0
73,0.0
74,3.0
75,0.0
76,4.0
77,0.0
78,3.0
79,0.0
80,2.0
81,1.0
82,1.0
83,1.0
84,3.0
85,1.0
86,3.0
87,0.0
88,2.0
89,3.0
90,3.0
91,0.0
92,1.0
93,0.0
94,1.0
95,1.0
96,0.0
97,4.0
98,3.0
99,3.0
100,0.0
101,1.0
102,0.0
103,2.0
104,0.0
105,0.0
106,0.0
107,1.0
108,1.0
109,1.0
110,0.0
111,1.0
112,1.0
113,0.0
114,2.0
115,2.0
116,0.0
117,1.0
118,5.0
119,1.0
120,3.0
121,2.0
122,0.0
123,0.0
124,2.0
125,2.0
126,1.0
127,4.0
128,0.0
129,0.0
130,2.0
131,1.0
132,0.0
133,1.0
134,4.0
135,1.0
136,2.0
137,2.0
138,2.0
139,0.0
140,0.0
141,1.0
142,1.0
143,1.0
144,0.0
145,2.0
146,2.0
147,0.0
148,0.0
149,1.0
150,0.0
151,0.0
152,2.0
153,2.0
154,0.0
155,0.0
156,3.0
157,0.0
158,1.0
159,2.0
160,3.0
161,2.0
162,0.0
163,4.0
164,2.0
165,3.0
166,1.0
167,1.0
168,2.0
169,1.0
170,3.0
171,2.0
172,0.0
173,1.0
174,2.0
175,2.0
176,0.0
177,3.0
178,1.0
179,3.0
180,2.0
181,3.0
182,4.0
183,0.0
184,3.0
185,1.0
186,0.0
187,1.0
188,1.0
189,3.0
190,0.0
191,5.0
192,2.0
193,0.0
194,2.0
195,0.0
196,0.0
197,0.0
198,2.0
199,3.0
200,0.0
201,0.0
202,1.0
203,2.0
204,2.0
205,2.0
206,1.0
207,2.0
208,0.0
209,1.0
210,0.0
211,1.0
212,1.0
213,3.0
214,2.0
215,1.0
216,0.0
217,0.0
218,2.0
219,2.0
220,0.0
221,0.0
222,1.0
223,2.0
224,2.0
225,5.0
226,2.0
227,0.0
228,1.0
229,1.0
230,1.0
231,0.0
232,2.0
233,0.0
234,1.0
235,2.0
236,3.0
237,5.0
238,2.0
239,6.0
240,2.0
241,0.0
242,1.0
243,6.0
244,2.0
245,0.0
246,4.0
247,1.0
248,0.0
249,0.0
250,2.0
251,1.0
252,0.0
253,0.0
254,0.0
255,2.0
256,2.0
257,5.0
258,0.0
259,1.0
260,2.0
261,0.0
262,2.0
263,2.0
264,2.0
265,1.0
266,1.0
267,0.0
268,3.0
269,4.0
270,0.0
271,3.0
272,0.0
273,0.0
274,1.0
275,1.0
276,2.0
277,0.0
278,0.0
279,0.0
280,0.0
281,1.0
282,2.0
283,0.0
284,3.0
285,0.0
286,2.0
287,1.0
288,1.0
289,0.0
290,1.0
291,2.0
292,0.0
293,2.0
294,0.0
295,1.0
296,1.0
297,2.0
298,0.0
299,2.0
300,2.0
301,1.0
302,4.0
303,2.0
304,0.0
305,2.0
306,0.0
307,0.0
308,0.0
309,2.0
310,2.0
311,1.0
312,3.0
313,5.0
314,3.0
315,2.0
316,3.0
317,1.0
318,1.0
319,1.0
320,1.0
321,4.0
322,1.0
323,3.0
324,0.0
325,0.0
326,4.0
327,0.0
328,4.0
329,0.0
330,0.0
331,2.0
332,3.0
