#{"t_start": 1595252445.9527411, "env_id": "NovelGridworld-v0"}
r,l,t
49,2,5.60277
-313,364,6.52124
-30,81,6.69814
-478,529,7.986396
-64,115,8.823913
11,40,9.102752
-73,124,9.960258
-132,183,11.309481
17,34,11.561335
-41,92,12.22995
41,10,12.292914
1,50,12.617727
-352,403,15.341156
11,40,15.608005
-34,85,16.184671
43,8,16.241637
-323,374,18.889114
49,2,18.902103
-11,62,19.313868
44,7,19.360839
-72,123,20.151385
38,13,20.236335
-22,73,20.713059
19,32,20.920941
44,7,20.97191
49,2,20.985903
-26,77,21.531589
0,51,21.876389
21,30,22.081273
8,43,22.392092
44,7,22.451058
1,50,22.805856
26,25,23.006738
28,23,23.197628
-14,65,23.689343
44,7,23.748311
31,20,23.910218
23,28,24.1121
2,49,24.51087
32,19,24.64979
-6,57,25.124517
30,21,25.263437
24,27,25.456325
-14,65,25.894075
45,6,25.933051
-132,183,27.156345
39,12,27.236299
47,4,27.262284
49,2,27.276278
20,31,27.531131
35,16,27.63307
36,15,27.736012
42,9,27.800975
34,17,27.912909
-202,253,29.73386
23,28,29.917753
-136,187,31.165035
48,3,31.185023
47,4,31.212008
41,10,31.279968
46,5,31.312949
-109,160,32.363344
-5,56,32.740127
35,16,32.847064
49,2,32.863056
44,7,32.914026
14,37,33.155888
50,1,33.161883
12,39,33.423733
-1,52,33.775529
43,8,33.830498
17,34,34.059366
50,1,34.066361
48,3,34.088349
-41,92,34.705993
35,16,34.81493
29,22,34.958848
25,26,35.136744
-15,66,35.57849
50,1,35.586488
43,8,35.639455
28,23,35.794365
-31,82,36.396022
-5,56,36.785794
44,7,36.834767
29,22,36.978683
-19,70,37.45341
45,6,37.494388
50,1,37.500382
-6,57,37.874169
33,18,37.994097
29,22,38.144011
42,9,38.203977
42,9,38.26694
28,23,38.424849
24,27,38.615742
14,37,38.863599
40,11,38.942553
49,2,38.955546
31,20,39.097461
14,37,39.351316
31,20,39.488238
24,27,39.662136
42,9,39.724102
48,3,39.746089
41,10,39.817047
25,26,39.987948
50,1,39.995944
50,1,40.004941
36,15,40.104882
47,4,40.131866
33,18,40.256793
44,7,40.307764
32,19,40.443687
45,6,40.48666
40,11,40.561617
41,10,40.635575
-44,95,41.347165
46,5,41.386142
-57,108,42.18768
48,3,42.208668
44,7,42.255641
27,24,42.407556
43,8,42.462522
46,5,42.497502
45,6,42.538477
41,10,42.609437
50,1,42.616433
40,11,42.69339
43,8,42.747358
47,4,42.77834
33,18,42.901269
8,43,43.1961
36,15,43.294042
44,7,43.342015
43,8,43.392985
50,1,43.400981
47,4,43.426966
15,36,43.666829
36,15,43.770768
46,5,43.807747
26,25,43.971652
42,9,44.032616
42,9,44.091583
43,8,44.145555
46,5,44.180532
46,5,44.212514
48,3,44.234501
50,1,44.241498
44,7,44.286471
47,4,44.312455
44,7,44.359428
30,21,44.505344
23,28,44.692236
48,3,44.713225
38,13,44.802173
46,5,44.838152
50,1,44.84515
39,12,44.926102
35,16,45.035039
35,16,45.140977
14,37,45.392832
39,12,45.476787
-4,55,45.839575
48,3,45.860564
31,20,45.99049
43,8,46.046458
25,26,46.21236
32,19,46.338288
