#{"t_start": 1595250405.177114, "env_id": "NovelGridworld-v0"}
r,l,t
-144,195,4.917166
-23,74,5.093065
23,28,5.158027
-301,352,6.083494
25,26,6.150454
-54,105,6.4173
31,20,6.470271
-143,194,6.95599
-218,269,9.629451
-180,231,11.747229
-272,323,14.863432
36,15,14.995356
-543,594,20.162379
36,15,20.290306
-5,56,20.775026
4,47,21.184788
-2,53,21.679504
42,9,21.758457
48,3,21.783444
18,33,22.06728
-192,243,24.23503
34,17,24.377963
-8,59,24.874662
43,8,24.944621
35,16,25.075544
43,8,25.141507
14,37,25.451329
29,22,25.634223
7,44,26.002012
-72,123,27.054405
-110,161,28.545545
29,22,28.729439
47,4,28.764419
11,40,29.115217
30,21,29.299111
-182,233,31.386908
43,8,31.454868
-31,82,32.158463
49,2,32.175453
50,1,32.185448
48,3,32.212433
33,18,32.356349
-173,224,34.216275
-86,137,35.3886
37,14,35.512539
15,36,35.818367
37,14,35.936284
-4,55,36.394021
13,38,36.708838
35,16,36.848759
36,15,36.982681
47,4,37.015662
14,37,37.318487
-35,86,38.036074
33,18,38.185003
47,4,38.219967
-11,62,38.748663
46,5,38.791638
46,5,38.833614
42,9,38.905572
35,16,39.038496
50,1,39.048491
9,42,39.395289
6,45,39.785066
48,3,39.81105
41,10,39.899
46,5,39.946972
15,36,40.282778
-2,53,40.733519
43,8,40.804477
50,1,40.813472
46,5,40.854449
33,18,41.010359
-11,62,41.559044
37,14,41.689968
31,20,41.888855
-52,103,42.899271
20,31,43.170114
49,2,43.188103
-8,59,43.894697
42,9,43.971652
48,3,43.999652
32,19,44.156546
31,20,44.32245
50,1,44.331445
16,35,44.645263
33,18,44.801174
-58,109,45.77961
46,5,45.824586
31,20,46.014475
24,27,46.259335
20,31,46.533177
43,8,46.615128
48,3,46.643113
35,16,46.799023
47,4,46.836002
50,1,46.844995
-3,54,47.34272
49,2,47.360698
36,15,47.521606
7,44,47.933383
44,7,48.01732
49,2,48.036309
-29,80,48.806865
43,8,48.872826
43,8,48.941788
43,8,49.027739
43,8,49.14767
47,4,49.210632
44,7,49.278593
44,7,49.346555
34,17,49.516456
38,13,49.671366
-17,68,50.356973
39,12,50.465909
-38,89,51.272444
34,17,51.430352
30,21,51.654223
45,6,51.704194
50,1,51.71319
-44,95,52.559702
19,32,52.916496
24,27,53.181343
44,7,53.248306
29,22,53.442192
22,29,53.694047
45,6,53.750015
50,1,53.762009
46,5,53.804984
32,19,53.98488
49,2,54.004869
40,11,54.104811
-26,77,54.776426
46,5,54.821397
50,1,54.830394
50,1,54.840387
47,4,54.877368
41,10,54.963327
42,9,55.042271
32,19,55.207175
35,16,55.361087
-8,59,55.89278
39,12,55.993722
40,11,56.089668
0,51,56.529428
46,5,56.569389
43,8,56.64035
37,14,56.76328
44,7,56.825243
38,13,56.943174
34,17,57.090089
-112,163,58.500279
36,15,58.635199
-72,123,59.687592
22,29,59.931452
17,34,60.220286
49,2,60.238277
49,2,60.256266
44,7,60.312244
37,14,60.425182
27,24,60.626067
50,1,60.635057
50,1,60.644057
44,7,60.705007
39,12,60.805948
-15,66,61.362628
41,10,61.443581
48,3,61.470565
33,18,61.624476
50,1,61.632471
41,10,61.717422
11,40,62.065222
50,1,62.074217
-8,59,62.57293
37,14,62.691863
47,4,62.725844
44,7,62.786806
30,21,62.964704
38,13,63.07564
24,27,63.304507
38,13,63.414444
41,10,63.499396
3,48,63.901163
44,7,63.96213
38,13,64.074064
40,11,64.169021
50,1,64.178017
47,4,64.210996
50,1,64.218996
48,3,64.245965
42,9,64.322922
46,5,64.368894
24,27,64.591766
29,22,64.780657
46,5,64.824631
16,35,65.119461
43,8,65.18942
48,3,65.215407
34,17,65.351329
50,1,65.362323
27,24,65.573199
43,8,65.640162
50,1,65.649157
42,9,65.727122
22,29,65.966973
17,34,66.255806
45,6,66.307776
50,1,66.316782
41,10,66.396726
24,27,66.625593
43,8,66.696567
50,1,66.706562
39,12,66.812485
44,7,66.87345
40,11,66.967396
-7,58,67.44512
-1,52,67.912852
37,14,68.036779
39,12,68.145717
38,13,68.263649
48,3,68.292633
38,13,68.403569
48,3,68.430554
31,20,68.598456
3,48,69.041202
46,5,69.093171
17,34,69.40599
50,1,69.413997
46,5,69.457971
46,5,69.500937
20,31,69.766784
28,23,69.96167
34,17,70.112583
-1,52,70.543335
46,5,70.585313
49,2,70.602302
48,3,70.626288
40,11,70.719233
39,12,70.824173
-3,54,71.268919
-138,189,72.992923
49,2,73.011912
44,7,73.073876
8,43,73.439665
29,22,73.622562
44,7,73.683525
49,2,73.701514
47,4,73.737495
39,12,73.840434
25,26,74.057309
45,6,74.111278
45,6,74.167246
4,47,74.57501
42,9,74.653966
43,8,74.726923
48,3,74.752908
44,7,74.813873
30,21,74.996768
46,5,75.037744
49,2,75.054734
19,32,75.384544
45,6,75.437513
-34,85,76.198075
48,3,76.226058
-36,87,76.957638
-125,176,78.475764
46,5,78.522736
48,3,78.550721
50,1,78.559713
47,4,78.593696
46,5,78.636669
49,2,78.655659
-9,60,79.201345
46,5,79.249316
40,11,79.346261
43,8,79.419218
36,15,79.562136
18,33,79.873957
45,6,79.939918
-86,137,81.13623
-223,274,83.602806
-2399,2450,105.272315
38,13,105.383266
36,15,105.502182
24,27,105.726054
-183,234,107.678927
-33,84,108.383521
42,9,108.459478
-51,102,109.327979
14,37,109.642796
47,4,109.677777
-908,959,117.729136
47,4,117.763117
48,3,117.788101
48,3,117.813087
-211,262,120.010818
49,2,120.02781
49,2,120.043801
50,1,120.052794
-592,643,125.415704
-316,367,128.469942
44,7,128.530907
-19,70,129.126564
45,6,129.176536
40,11,129.273479
49,2,129.291469
47,4,129.323452
48,3,129.348437
48,3,129.374421
43,8,129.440382
48,3,129.46537
39,12,129.562315
-177,228,131.474211
48,3,131.501195
47,4,131.541172
42,9,131.63012
48,3,131.658105
46,5,131.703079
50,1,131.713073
45,6,131.773039
-868,919,139.547557
48,3,139.572542
-85,136,140.72189
-129,180,142.245002
48,3,142.274984
-14,65,142.827665
48,3,142.85665
36,15,142.988573
-162,213,144.821519
46,5,144.867491
-82,133,145.991841
43,8,146.058803
-90,141,147.258114
45,6,147.314079
50,1,147.323074
46,5,147.36505
50,1,147.375044
47,4,147.407026
26,25,147.614906
38,13,147.724843
50,1,147.734839
-349,400,151.101897
46,5,151.143871
39,12,151.245812
47,4,151.279796
35,16,151.418714
48,3,151.444699
49,2,151.460689
47,4,151.495669
40,11,151.589626
40,11,151.684561
48,3,151.71156
45,6,151.763514
48,3,151.788502
50,1,151.797495
