#{"t_start": 1595253571.1360445, "env_id": "NovelGridworld-v0"}
r,l,t
29,22,6.993969
-63,114,7.396737
48,3,7.40773
-60,111,7.762526
6,45,7.927431
-115,166,8.512094
-358,409,9.834331
-161,212,11.640309
-170,221,14.424686
-87,138,16.18667
-58,109,17.648828
-26,77,18.802164
46,5,18.87512
48,3,18.920094
-89,140,21.601549
-138,189,24.41093
-21,72,25.325402
30,21,25.619232
-29,80,26.694616
35,16,26.92548
-168,219,29.699882
-261,312,33.498694
-47,98,34.686018
40,11,34.824927
-45,96,35.970285
-54,105,37.235537
-25,76,38.14901
-18,69,38.973535
50,1,38.988538
36,15,39.172421
37,14,39.339322
37,14,39.50323
45,6,39.579187
26,25,39.888006
3,48,40.452682
50,1,40.464675
-6,57,41.15128
-27,78,42.081742
40,11,42.213665
-33,84,43.199099
27,24,43.488949
13,38,43.949666
40,11,44.082589
43,8,44.178534
27,24,44.457372
20,31,44.835155
-3,54,45.523759
10,41,46.026468
50,1,46.03946
-59,110,47.486626
50,1,47.500619
35,16,47.7055
46,5,47.773462
48,3,47.812438
47,4,47.866409
48,3,47.906385
9,42,48.422087
28,23,48.722914
16,35,49.204649
43,8,49.304578
40,11,49.440518
10,41,49.969199
50,1,49.983187
4,47,50.566851
43,8,50.665795
50,1,50.678787
41,10,50.804714
-26,77,51.863104
48,3,51.911077
-59,110,53.466181
22,29,53.823973
49,2,53.851957
0,51,54.470602
46,5,54.531566
39,12,54.726453
8,43,55.30612
48,3,55.342099
40,11,55.491013
45,6,55.584958
-20,71,56.660338
10,41,57.307966
32,19,57.562817
34,17,57.781693
-16,67,58.602237
13,38,59.090938
42,9,59.204873
11,40,59.707582
-70,121,61.362628
20,31,61.77339
15,36,62.248117
1,50,62.847775
14,37,63.325495
34,17,63.544372
41,10,63.672297
31,20,63.937143
32,19,64.174007
33,18,64.402874
32,19,64.640756
47,4,64.688729
36,15,64.890595
32,19,65.145447
43,8,65.253386
50,1,65.267377
46,5,65.329341
40,11,65.472258
-75,126,67.076335
46,5,67.144295
47,4,67.201262
35,16,67.432129
38,13,67.632015
8,43,68.250657
32,19,68.48752
26,25,68.808336
43,8,68.955252
-11,62,69.870725
36,15,70.090596
42,9,70.199535
50,1,70.213526
39,12,70.371433
39,12,70.529344
19,32,70.951101
48,3,70.998074
46,5,71.072031
47,4,71.127
20,31,71.521771
36,15,71.729653
42,9,71.837589
31,20,72.099439
33,18,72.335302
37,14,72.540185
-7,58,73.371707
43,8,73.482641
36,15,73.71051
