#{"t_start": 1595257204.4953346, "env_id": "NovelGridworld-v0"}
r,l,t
-112,163,5.79566
-143,194,6.329353
0,51,6.469272
-144,195,6.978989
-75,126,7.328776
50,1,7.331774
-70,121,7.659585
-172,223,8.907867
-1,52,9.431564
-30,81,10.293067
-16,67,10.91371
15,36,11.249516
-15,66,11.907137
15,36,12.243943
-145,196,14.130855
30,21,14.317748
-28,79,15.020343
37,14,15.15027
50,1,15.16226
50,1,15.171257
18,33,15.465088
38,13,15.584017
-46,97,16.481499
-17,68,17.117133
-7,58,17.661821
-31,82,18.51233
47,4,18.549307
19,32,18.844139
21,30,19.127974
16,35,19.453786
45,6,19.538739
40,11,19.687652
42,9,19.774602
39,12,19.883538
40,11,20.010467
31,20,20.21235
5,46,20.640102
-5,56,21.182789
39,12,21.30772
4,47,21.784443
-10,61,22.403086
-355,406,26.323826
29,22,26.522711
50,1,26.531722
-132,183,28.212754
27,24,28.446603
-85,136,29.754848
47,4,29.798824
6,45,30.409471
-130,181,32.214434
43,8,32.296383
-68,119,33.576646
29,22,33.804514
50,1,33.814508
49,2,33.837496
18,33,34.229269
50,1,34.240263
6,45,34.766959
31,20,34.966844
-27,78,35.843338
50,1,35.855332
35,16,36.012241
44,7,36.078203
37,14,36.231115
-19,70,36.964693
-17,68,37.669288
-27,78,38.476821
9,42,38.993522
41,10,39.091466
-35,86,39.933981
42,9,40.02093
44,7,40.087893
37,14,40.221815
24,27,40.486662
31,20,40.689545
4,47,41.141284
25,26,41.389142
37,14,41.518083
29,22,41.729945
43,8,41.803903
45,6,41.859881
15,36,42.230657
39,12,42.355585
-6,57,42.897273
46,5,42.948242
3,48,43.42397
45,6,43.479938
35,16,43.62985
23,28,43.887702
44,7,43.952664
35,16,44.102577
40,11,44.200522
35,16,44.35943
47,4,44.398407
47,4,44.444396
0,51,44.938112
47,4,44.98207
50,1,44.994064
42,9,45.101004
49,2,45.129001
31,20,45.352856
28,23,45.580728
44,7,45.64169
46,5,45.69366
46,5,45.740634
11,40,46.191373
30,21,46.40425
21,30,46.675106
4,47,47.12585
44,7,47.191799
38,13,47.31674
40,11,47.424662
-2,53,47.915395
48,3,47.945362
34,17,48.122263
44,7,48.190222
41,10,48.284167
6,45,48.716932
27,24,48.950785
28,23,49.190645
34,17,49.366545
49,2,49.38953
50,1,49.404521
26,25,49.652378
34,17,49.814285
40,11,49.917225
49,2,49.938213
46,5,49.991183
19,32,50.293009
31,20,50.492895
-10,61,51.085553
48,3,51.120532
44,7,51.188493
50,1,51.20049
47,4,51.238475
28,23,51.455339
50,1,51.464334
27,24,51.683209
15,36,52.026026
-15,66,52.719611
38,13,52.873524
21,30,53.199334
49,2,53.222321
29,22,53.477173
46,5,53.533141
50,1,53.543136
6,45,53.98488
21,30,54.273716
46,5,54.320687
31,20,54.597528
10,41,55.037274
48,3,55.067257
41,10,55.1672
50,1,55.177194
21,30,55.471026
49,2,55.490015
46,5,55.547982
48,3,55.578963
20,31,55.878789
35,16,56.04271
45,6,56.106668
30,21,56.326531
26,25,56.567392
29,22,56.773274
34,17,56.945174
50,1,56.95517
34,17,57.11308
47,4,57.150067
40,11,57.256994
6,45,57.675755
-5,56,58.199462
-8,59,58.762129
47,4,58.801116
38,13,58.923035
-15,66,59.608639
43,8,59.687593
47,4,59.726572
49,2,59.748558
39,12,59.862492
46,5,59.913474
38,13,60.03939
44,7,60.115347
39,12,60.250274
33,18,60.449155
48,3,60.481138
34,17,60.651038
42,9,60.742988
37,14,60.878906
31,20,61.075804
25,26,61.326649
31,20,61.524534
44,7,61.587498
43,8,61.664454
43,8,61.738412
50,1,61.747418
48,3,61.7764
46,5,61.827362
49,2,61.845351
45,6,61.902334
38,13,62.036242
38,13,62.160168
50,1,62.170162
38,13,62.296089
35,16,62.455014
45,6,62.511965
38,13,62.633894
26,25,62.86776
41,10,62.958708
44,7,63.024685
-82,133,64.304931
48,3,64.338915
3,48,64.91558
30,21,65.135453
-35,86,65.96499
-52,103,67.108315
49,2,67.131302
-21,72,67.840893
-19,70,68.654425
46,5,68.708393
26,25,69.021214
30,21,69.296055
43,8,69.397996
46,5,69.457961
44,7,69.544911
29,22,69.747794
45,6,69.807759
46,5,69.854733
30,21,70.055618
40,11,70.198536
45,6,70.285485
48,3,70.322463
20,31,70.633299
39,12,70.758212
43,8,70.842163
44,7,70.913124
37,14,71.050043
15,36,71.392846
46,5,71.438819
45,6,71.4928
50,1,71.501782
46,5,71.547759
35,16,71.744643
48,3,71.779623
16,35,72.106445
45,6,72.167415
46,5,72.214372
40,11,72.311316
40,11,72.414268
45,6,72.474234
6,45,72.892981
44,7,72.961941
41,10,73.074877
48,3,73.111855
40,11,73.217796
50,1,73.228799
45,6,73.28577
28,23,73.589581
36,15,73.776472
44,7,73.859424
50,1,73.872417
48,3,73.908397
45,6,73.981358
28,23,74.209222
48,3,74.239205
49,2,74.258194
49,2,74.276185
50,1,74.28618
5,46,74.731938
44,7,74.800882
49,2,74.817872
18,33,75.129694
47,4,75.176664
44,7,75.251622
21,30,75.54945
50,1,75.558444
48,3,75.585429
46,5,75.6354
17,34,76.00019
49,2,76.020178
47,4,76.064153
40,11,76.177088
-34,85,77.002612
10,41,77.402382
46,5,77.451354
48,3,77.485333
43,8,77.558292
43,8,77.64624
44,7,77.712203
38,13,77.83813
35,16,78.016027
43,8,78.094983
50,1,78.104976
19,32,78.434786
45,6,78.494752
46,5,78.539726
48,3,78.567709
26,25,78.815569
40,11,78.91351
41,10,79.00046
34,17,79.177358
48,3,79.20834
43,8,79.288297
-3,54,79.829982
41,10,79.923928
38,13,80.051854
28,23,80.277725
42,9,80.395657
48,3,80.432641
47,4,80.482606
47,4,80.524581
48,3,80.552567
50,1,80.561561
34,17,80.728464
6,45,81.219197
49,2,81.242167
46,5,81.294141
33,18,81.46504
12,39,81.843822
49,2,81.861811
29,22,82.08868
31,20,82.304556
-23,74,83.172055
41,10,83.290987
45,6,83.357949
46,5,83.414915
45,6,83.490872
47,4,83.535846
40,11,83.668769
44,7,83.748725
40,11,83.888643
50,1,83.901635
28,23,84.135502
46,5,84.183473
49,2,84.20346
48,3,84.234444
48,3,84.265425
45,6,84.323392
35,16,84.491296
31,20,84.699177
45,6,84.765137
46,5,84.81211
48,3,84.838106
33,18,85.007997
40,11,85.111939
49,2,85.12893
47,4,85.168906
43,8,85.244863
45,6,85.29983
28,23,85.551685
45,6,85.609651
49,2,85.62864
39,12,85.745572
44,7,85.813533
46,5,85.861516
25,26,86.104365
47,4,86.143343
47,4,86.181321
50,1,86.191315
41,10,86.284261
38,13,86.414186
49,2,86.434175
35,16,86.594093
50,1,86.605077
48,3,86.63507
49,2,86.65306
50,1,86.661045
14,37,86.995851
25,26,87.233714
40,11,87.331659
43,8,87.410612
45,6,87.473591
21,30,87.754414
47,4,87.795393
41,10,87.889338
49,2,87.907326
49,2,87.925316
49,2,87.945304
48,3,87.973299
47,4,88.010266
42,9,88.095217
35,16,88.242132
32,19,88.415049
45,6,88.477996
47,4,88.520972
48,3,88.547956
35,16,88.700869
50,1,88.711862
42,9,88.799811
47,4,88.835793
4,47,89.268541
49,2,89.28753
46,5,89.333506
44,7,89.399465
45,6,89.459431
18,33,89.783246
47,4,89.820224
46,5,89.863198
23,28,90.131047
48,3,90.160028
42,9,90.264967
44,7,90.337924
48,3,90.366909
41,10,90.470851
45,6,90.535811
43,8,90.617763
50,1,90.626758
43,8,90.700716
47,4,90.741704
48,3,90.770675
47,4,90.810654
46,5,90.865636
45,6,90.923603
19,32,91.236407
25,26,91.501254
42,9,91.590204
24,27,91.874039
48,3,91.903023
44,7,91.971983
49,2,91.994971
-22,73,92.867467
48,3,92.89845
44,7,92.974405
44,7,93.052372
45,6,93.110328
48,3,93.138311
43,8,93.220264
45,6,93.29522
46,5,93.353188
45,6,93.417149
46,5,93.473118
20,31,93.78294
46,5,93.838906
37,14,93.990821
45,6,94.048787
42,9,94.148729
45,6,94.208693
47,4,94.255666
42,9,94.35361
50,1,94.363604
34,17,94.539502
42,9,94.622455
38,13,94.75638
44,7,94.824349
44,7,94.893298
43,8,94.972268
48,3,95.005234
48,3,95.03322
42,9,95.123167
37,14,95.251092
44,7,95.324051
43,8,95.400022
46,5,95.448978
47,4,95.506945
