#{"t_start": 1594814445.9498682, "env_id": "NovelGridworld-v0"}
r,l,t
-73,124,8.35527
-577,628,14.035031
-344,395,19.262065
-123,174,22.479255
-727,778,36.961021
49,2,37.0
-25,76,38.391208
-270,321,44.136946
-106,157,46.909373
-54,105,48.80231
21,30,49.325003
-100,151,52.104424
46,5,52.198371
46,5,52.298317
-222,273,57.081602
12,39,57.756217
42,9,57.915142
29,22,58.29892
-53,104,60.107898
39,12,60.323775
-31,82,61.742956
-37,88,63.277084
9,42,64.032655
15,36,64.661299
44,7,64.787227
34,17,65.076078
31,20,65.416885
-9,60,66.476268
31,20,66.844059
20,31,67.367762
34,17,67.6516
50,1,67.67259
38,13,67.896465
26,25,68.325219
42,9,68.477132
40,11,68.670022
37,14,68.90889
8,43,69.643469
-49,100,71.401473
44,7,71.521404
33,18,71.84722
31,20,72.205017
45,6,72.319966
50,1,72.338943
49,2,72.371924
41,10,72.546825
42,9,72.703733
7,44,73.482305
33,18,73.806108
21,30,74.369787
-145,196,77.790847
41,10,77.972743
39,12,78.188632
5,46,78.983172
50,1,79.000162
-9,60,80.043583
46,5,80.126536
33,18,80.431349
50,1,80.449337
32,19,80.780149
45,6,80.881093
16,35,81.488763
8,43,82.239336
48,3,82.295305
-26,77,83.617539
31,20,83.965357
49,2,84.006321
31,20,84.365117
41,10,84.54203
47,4,84.612974
43,8,84.748896
42,9,84.911816
32,19,85.240618
41,10,85.418532
42,9,85.576427
50,1,85.595418
29,22,85.980198
30,21,86.351988
13,38,87.025622
47,4,87.099563
47,4,87.169524
42,9,87.329432
15,36,87.962074
25,26,88.428809
41,10,88.608708
45,6,88.711648
32,19,89.045474
44,7,89.174386
43,8,89.323301
9,42,90.056887
42,9,90.217794
-3,54,91.168269
30,21,91.539043
39,12,91.746927
34,17,92.043772
34,17,92.349583
25,26,92.811332
35,16,93.088179
44,7,93.209095
46,5,93.315035
13,38,93.974661
18,33,94.559329
30,21,94.935131
39,12,95.144008
49,2,95.180992
50,1,95.199981
33,18,95.518786
50,1,95.53779
28,23,95.923566
42,9,96.082466
47,4,96.151441
48,3,96.203398
46,5,96.287364
43,8,96.428269
32,19,96.75808
15,36,97.388724
43,8,97.532641
43,8,97.668566
25,26,98.128305
39,12,98.339199
36,15,98.595039
24,27,99.063783
32,19,99.400593
32,19,99.726396
50,1,99.745385
36,15,100.00624
-7,58,101.04065
50,1,101.057643
35,16,101.338482
14,37,101.990112
44,7,102.106061
44,7,102.234988
45,6,102.341913
-10,61,103.423298
50,1,103.440288
45,6,103.551225
42,9,103.711134
29,22,104.095932
47,4,104.164877
43,8,104.305798
31,20,104.657599
39,12,104.872477
42,9,105.02339
41,10,105.192294
11,40,105.885916
39,12,106.097793
42,9,106.261699
49,2,106.29467
45,6,106.401623
45,6,106.50455
38,13,106.738416
47,4,106.811386
44,7,106.940302
27,24,107.349072
48,3,107.405039
50,1,107.422031
45,6,107.52797
47,4,107.606924
45,6,107.715877
37,14,107.972732
50,1,107.989706
37,14,108.236566
45,6,108.340522
42,9,108.501417
44,7,108.628345
34,17,108.92118
44,7,109.042109
32,19,109.377934
38,13,109.600793
45,6,109.705731
43,8,109.848653
46,5,109.939611
18,33,110.505294
50,1,110.52228
39,12,110.750139
37,14,110.974013
43,8,111.118946
43,8,111.261853
28,23,111.672632
43,8,111.814536
50,1,111.833525
32,19,112.171333
37,14,112.426189
-24,75,113.720471
50,1,113.744457
28,23,114.15822
47,4,114.229167
21,30,114.75387
23,28,115.257596
45,6,115.362522
44,7,115.490465
46,5,115.576401
42,9,115.747304
45,6,115.853244
-18,69,117.06056
39,12,117.264442
47,4,117.334405
50,1,117.351395
40,11,117.5423
44,7,117.679218
37,14,117.925068
13,38,118.591688
50,1,118.609679
40,11,118.804584
48,3,118.855539
39,12,119.068421
23,28,119.568135
19,32,120.129816
5,46,120.926375
45,6,121.033304
45,6,121.140246
48,3,121.19123
50,1,121.20822
37,14,121.462059
43,8,121.594987
49,2,121.631974
39,12,121.85185
6,45,122.657397
50,1,122.674375
30,21,123.025175
46,5,123.110125
39,12,123.314011
39,12,123.522891
46,5,123.606844
31,20,123.968637
-47,98,125.660679
22,29,126.181381
49,2,126.217362
48,3,126.272332
40,11,126.46522
47,4,126.533197
42,9,126.686095
50,1,126.702086
42,9,126.860012
19,32,127.425676
45,6,127.529617
36,15,127.788469
50,1,127.805461
49,2,127.84044
49,2,127.875431
50,1,127.891411
-71,122,130.020218
50,1,130.038192
43,8,130.178128
44,7,130.309038
47,4,130.376002
41,10,130.548905
42,9,130.702816
40,11,130.894722
38,13,131.12659
-24,75,132.557762
45,6,132.657722
44,7,132.781651
49,2,132.817632
26,25,133.295346
48,3,133.350312
31,20,133.738092
31,20,134.210313
46,5,134.305259
50,1,134.325247
-9,60,135.399638
47,4,135.488591
47,4,135.574538
45,6,135.684478
36,15,135.963317
30,21,136.398071
47,4,136.482023
47,4,136.559978
26,25,137.031713
44,7,137.163638
44,7,137.293565
49,2,137.335539
47,4,137.448475
3,48,138.438914
30,21,138.830691
49,2,138.868669
50,1,138.887658
50,1,138.908647
32,19,139.248453
22,29,139.798141
37,14,140.078984
39,12,140.300857
35,16,140.598688
24,27,141.105401
38,13,141.348261
37,14,141.602117
43,8,141.749034
46,5,141.841982
-7,58,142.92137
47,4,142.995328
47,4,143.071285
44,7,143.210206
24,27,143.739904
34,17,144.050728
42,9,144.230626
45,6,144.378543
50,1,144.405526
-22,73,146.014613
35,16,146.345425
50,1,146.369412
-3,54,147.4458
-20,71,148.742065
29,22,149.146837
43,8,149.361612
41,10,149.616468
39,12,149.830346
47,4,149.898308
47,4,149.98526
28,23,150.553452
38,13,150.818302
45,6,150.934237
24,27,151.418961
42,9,151.579872
48,3,151.637839
45,6,151.754772
46,5,151.848718
50,1,151.868706
3,48,152.771195
-11,62,153.945527
39,12,154.156407
35,16,154.451241
46,5,154.54019
-61,112,156.490084
45,6,156.594026
42,9,156.755932
48,3,156.808902
50,1,156.828893
47,4,156.893854
48,3,156.950823
50,1,156.969813
28,23,157.378594
46,5,157.476525
32,19,157.810349
48,3,157.861308
50,1,157.87931
-150,201,161.520228
12,39,162.218832
50,1,162.237823
35,16,162.515674
10,41,163.24625
25,26,163.709986
46,5,163.803932
-39,90,165.367056
-6,57,166.346488
47,4,166.412463
45,6,166.516395
36,15,166.782241
-30,81,168.200437
43,8,168.344371
30,21,168.714147
-43,94,170.367208
29,22,170.766996
42,9,170.918894
50,1,170.936899
46,5,171.030832
50,1,171.051819
42,9,171.217726
46,5,171.305676
47,4,171.377635
48,3,171.432603
48,3,171.486574
49,2,171.525551
44,7,171.655476
42,9,171.82438
45,6,171.938318
39,12,172.187176
15,36,172.882779
39,12,173.091662
49,2,173.137634
45,6,173.260566
47,4,173.338522
39,12,173.616363
-58,109,175.664201
40,11,175.86209
47,4,175.944044
50,1,175.962031
45,6,176.066987
49,2,176.104966
42,9,176.266859
46,5,176.355824
45,6,176.460749
45,6,176.566704
49,2,176.602668
16,35,177.222316
-358,409,184.375256
-17,68,185.586569
-517,568,195.592891
47,4,195.668862
47,4,195.752799
44,7,195.880726
50,1,195.900715
49,2,195.935696
